Mag Switch S1,2018-06-20 14:49:53,0
Mag Switch S1,2018-06-20 14:49:54,1
Mag Switch S2,2018-06-20 14:49:56,0
Mag Switch S2,2018-06-20 14:49:58,1
Mag Switch S2,2018-06-20 14:49:59,0
Mag Switch S2,2018-06-20 14:50:00,1
Mag Switch S1,2018-06-20 15:20:55,0
Mag Switch S1,2018-06-20 15:20:56,1
Mag Switch S1,2018-06-20 15:20:57,0
Mag Switch S1,2018-06-20 15:20:58,1
Mag Switch S1,2018-06-20 15:21:55,0
Mag Switch S1,2018-06-20 15:21:56,1
Mag Switch S1,2018-06-20 15:21:56,0
Mag Switch S1,2018-06-20 15:21:57,1
Mag Switch S1,2018-06-20 15:21:58,0
Mag Switch S1,2018-06-20 15:21:59,1
Mag Switch S1,2018-06-20 15:22:00,0
Mag Switch S1,2018-06-20 15:22:01,1
Mag Switch S1,2018-06-20 15:27:02,0
Mag Switch S1,2018-06-20 15:27:03,1
Mag Switch S1,2018-06-20 15:27:04,0
Mag Switch S1,2018-06-20 15:27:06,1
